sentence_id,sentence
152,"Under the various circumstances which give peculiar solemnity to the existing period, I feel that both the honor and the responsibility allotted to me are inexpressibly enhanced."
153,The present situation of the world is indeed without a parallel and that of our own country full of difficulties.
154,"The pressure of these, too, is the more severely felt because they have fallen upon us at a moment when the national prosperity being at a height not before attained, the contrast resulting from the change has been rendered the more striking."
155,"Under the benign influence of our republican institutions, and the maintenance of peace with all nations whilst so many of them were engaged in bloody and wasteful wars, the fruits of a just policy were enjoyed in an unrivaled growth of our faculties and resources."
156,"Proofs of this were seen in the improvements of agriculture, in the successful enterprises of commerce, in the progress of manufacturers and useful arts, in the increase of the public revenue and the use made of it in reducing the public debt, and in the valuable works and establishments everywhere multiplying over the face of our land."
157,"It is a precious reflection that the transition from this prosperous condition of our country to the scene which has for some time been distressing us is not chargeable on any unwarrantable views, nor, as I trust, on any involuntary errors in the public councils."
158,"Indulging no passions which trespass on the rights or the repose of other nations, it has been the true glory of the United States to cultivate peace by observing justice, and to entitle themselves to the respect of the nations at war by fulfilling their neutral obligations with the most scrupulous impartiality."
159,"If there be candor in the world, the truth of these assertions will not be questioned; posterity at least will do justice to them."
160,This unexceptionable course could not avail against the injustice and violence of the belligerent powers.
161,"In their rage against each other, or impelled by more direct motives, principles of retaliation have been introduced equally contrary to universal reason and acknowledged law."
162,"How long their arbitrary edicts will be continued in spite of the demonstrations that not even a pretext for them has been given by the United States, and of the fair and liberal attempt to induce a revocation of them, can not be anticipated."
163,"Assuring myself that under every vicissitude the determined spirit and united councils of the nation will be safeguards to its honor and its essential interests, I repair to the post assigned me with no other discouragement than what springs from my own inadequacy to its high duties."
164,If I do not sink under the weight of this deep conviction it is because I find some support in a consciousness of the purposes and a confidence in the principles which I bring with me into this arduous service.
165,"To cherish peace and friendly intercourse with all nations having correspondent dispositions; to maintain sincere neutrality toward belligerent nations; to prefer in all cases amicable discussion and reasonable accommodation of differences to a decision of them by an appeal to arms; to exclude foreign intrigues and foreign partialities, so degrading to all countries and so baneful to free ones; to foster a spirit of independence too just to invade the rights of others, too proud to surrender our own, too liberal to indulge unworthy prejudices ourselves and too elevated not to look down upon them in others; to hold the union of the States as the basis of their peace and happiness; to support the Constitution, which is the cement of the Union, as well in its limitations as in its authorities; to respect the rights and authorities reserved to the States and to the people as equally incorporated with and essential to the success of the general system; to avoid the slightest interference with the right of conscience or the functions of religion, so wisely exempted from civil jurisdiction; to preserve in their full energy the other salutary provisions in behalf of private and personal rights, and of the freedom of the press; to observe economy in public expenditures; to liberate the public resources by an honorable discharge of the public debts; to keep within the requisite limits a standing military force, always remembering that an armed and trained militia is the firmest bulwark of republics -- that without standing armies their liberty can never be in danger, nor with large ones safe; to promote by authorized means improvements friendly to agriculture, to manufactures, and to external as well as internal commerce; to favor in like manner the advancement of science and the diffusion of information as the best aliment to true liberty; to carry on the benevolent plans which have been so meritoriously applied to the conversion of our aboriginal neighbors from the degradation and wretchedness of savage life to a participation of the improvements of which the human mind and manners are susceptible in a civilized state -- as far as sentiments and intentions such as these can aid the fulfillment of my duty, they will be a resource which can not fail me."
166,"It is my good fortune, moreover, to have the path in which I am to tread lighted by examples of illustrious services successfully rendered in the most trying difficulties by those who have marched before me."
167,Of those of my immediate predecessor it might least become me here to speak.
168,"I may, however, be pardoned for not suppressing the sympathy with which my heart is full in the rich reward he enjoys in the benedictions of a beloved country, gratefully bestowed or exalted talents zealously devoted through a long career to the advancement of its highest interest and happiness."
169,"But the source to which I look or the aids which alone can supply my deficiencies is in the well-tried intelligence and virtue of my fellow-citizens, and in the counsels of those representing them in the other departments associated in the care of the national interests."
170,"In these my confidence will under every difficulty be best placed, next to that which we have all been encouraged to feel in the guardianship and guidance of that Almighty Being whose power regulates the destiny of nations, whose blessings have been so conspicuously dispensed to this rising Republic, and to whom we are bound to address our devout gratitude for the past, as well as our fervent supplications and best hopes for the future."
171,"About to add the solemnity of an oath to the obligations imposed by a second call to the station in which my country heretofore placed me, I find in the presence of this respectable assembly an opportunity of publicly repeating my profound sense of so distinguished a confidence and of the responsibility united with it."
172,"The impressions on me are strengthened by such an evidence that my faithful endeavors to discharge my arduous duties have been favorably estimated, and by a consideration of the momentous period at which the trust has been renewed."
173,"From the weight and magnitude now belonging to it I should be compelled to shrink if I had less reliance on the support of an enlightened and generous people, and felt less deeply a conviction that the war with a powerful nation, which forms so prominent a feature in our situation, is stamped with that justice which invites the smiles of Heaven on the means of conducting it to a successful termination."
174,May we not cherish this sentiment without presumption when we reflect on the characters by which this war is distinguished?
175,"It was not declared on the part of the United States until it had been long made on them, in reality though not in name; until arguments and postulations had been exhausted; until a positive declaration had been received that the wrongs provoking it would not be discontinued; nor until this last appeal could no longer be delayed without breaking down the spirit of the nation, destroying all confidence in itself and in its political institutions, and either perpetuating a state of disgraceful suffering or regaining by more costly sacrifices and more severe struggles our lost rank and respect among independent powers."
176,On the issue of the war are staked our national sovereignty on the high seas and the security of an important class of citizens whose occupations give the proper value to those of every other class.
177,Not to contend for such a stake is to surrender our equality with other powers on the element common to all and to violate the sacred title which every member of the society has to its protection.
178,"I need not call into view the unlawfulness of the practice by which our mariners are forced at the will of every cruising officer from their own vessels into foreign ones, nor paint the outrages inseparable from it."
179,"The proofs are in the records of each successive Administration of our Government, and the cruel sufferings of that portion of the American people have found their way to every bosom not dead to the sympathies of human nature."
180,"As the war was just in its origin and necessary and noble in its objects, we can reflect with a proud satisfaction that in carrying it on no principle of justice or honor, no usage of civilized nations, no precept of courtesy or humanity, have been infringed."
181,"The war has been waged on our part with scrupulous regard to all these obligations, and in a spirit of liberality which was never surpassed."
182,How little has been the effect of this example on the conduct of the enemy!
183,They have retained as prisoners of war citizens of the United States not liable to be so considered under the usages of war.
184,"They have refused to consider as prisoners of war, and threatened to punish as traitors and deserters, persons emigrating without restraint to the United States, incorporated by naturalization into our political family, and fighting under the authority of their adopted country in open and honorable war for the maintenance of its rights and safety."
185,"Such is the avowed purpose of a Government which is in the practice of naturalizing by thousands citizens of other countries, and not only of permitting but compelling them to fight its battles against their native country."
186,"They have not, it is true, taken into their own hands the hatchet and the knife, devoted to indiscriminate massacre, but they have let loose the savages armed with these cruel instruments; have allured them into their service, and carried them to battle by their sides, eager to glut their savage thirst with the blood of the vanquished and to finish the work of torture and death on maimed and defenseless captives."
187,"And, what was never before seen, British commanders have extorted victory over the unconquerable valor of our troops by presenting to the sympathy of their chief captives awaiting massacre from their savage associates."
188,"And now we find them, in further contempt of the modes of honorable warfare, supplying the place of a conquering force by attempts to disorganize our political society, to dismember our confederated Republic."
189,"Happily, like others, these will recoil on the authors; but they mark the degenerate counsels from which they emanate, and if they did not belong to a sense of unexampled inconsistencies might excite the greater wonder as proceeding from a Government which founded the very war in which it has been so long engaged on a charge against the disorganizing and insurrectional policy of its adversary."
190,"To render the justice of the war on our part the more conspicuous, the reluctance to commence it was followed by the earliest and strongest manifestations of a disposition to arrest its progress."
191,The sword was scarcely out of the scabbard before the enemy was apprised of the reasonable terms on which it would be resheathed.
192,"Still more precise advances were repeated, and have been received in a spirit forbidding every reliance not placed on the military resources of the nation."
193,These resources are amply sufficient to bring the war to an honorable issue.
194,Our nation is in number more than half that of the British Isles.
195,"It is composed of a brave, a free, a virtuous, and an intelligent people."
196,"Our country abounds in the necessaries, the arts, and the comforts of life."
197,A general prosperity is visible in the public countenance.
198,"The means employed by the British cabinet to undermine it have recoiled on themselves; have given to our national faculties a more rapid development, and, draining or diverting the precious metals from British circulation and British vaults, have poured them into those of the United States."
199,It is a propitious consideration that an unavoidable war should have found this seasonable facility for the contributions required to support it.
200,"When the public voice called for war, all knew, and still know, that without them it could not be carried on through the period which it might last, and the patriotism, the good sense, and the manly spirit of our fellow-citizens are pledges for the cheerfulness with which they will bear each his share of the common burden."
201,"To render the war short and its success sure, animated and systematic exertions alone are necessary, and the success of our arms now may long preserve our country from the necessity of another resort to them."
202,Already have the gallant exploits of our naval heroes proved to the world our inherent capacity to maintain our rights on one element.
203,"If the reputation of our arms has been thrown under clouds on the other, presaging flashes of heroic enterprise assure us that nothing is wanting to correspondent triumphs there also but the discipline and habits which are in daily progress."
204,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume.
205,"As the expression of their good opinion of my conduct in the public service, I derive from it a gratification which those who are conscious of having done all that they could to merit it can alone feel."
206,"MY sensibility is increased by a just estimate of the importance of the trust and of the nature and extent of its duties, with the proper discharge of which the highest interests of a great and free people are intimately connected."
207,"Conscious of my own deficiency, I cannot enter on these duties without great anxiety for the result."
208,"From a just responsibility I will never shrink, calculating with confidence that in my best efforts to promote the public welfare my motives will always be duly appreciated and my conduct be viewed with that candor and indulgence which I have experienced in other stations."
209,In commencing the duties of the chief executive office it has been the practice of the distinguished men who have gone before me to explain the principles which would govern them in their respective Administrations.
210,In following their venerated example my attention is naturally drawn to the great causes which have contributed in a principal degree to produce the present happy condition of the United States.
211,They will best explain the nature of our duties and shed much light on the policy which ought to be pursued in future.
212,"From the commencement of our Revolution to the present day almost forty years have elapsed, and from the establishment of this Constitution twenty-eight."
213,Through this whole term the Government has been what may emphatically be called self-government.
214,And what has been the effect?
215,"To whatever object we turn our attention, whether it relates to our foreign or domestic concerns, we find abundant cause to felicitate ourselves in the excellence of our institutions."
216,During a period fraught with difficulties and marked by very extraordinary events the United States have flourished beyond example.
217,Their citizens individually have been happy and the nation prosperous.
218,"Under this Constitution our commerce has been wisely regulated with foreign nations and between the States; new States have been admitted into our Union; our territory has been enlarged by fair and honorable treaty, and with great advantage to the original States; the States, respectively protected by the National Government under a mild, parental system against foreign dangers, and enjoying within their separate spheres, by a wise partition of power, a just proportion of the sovereignty, have improved their police, extended their settlements, and attained a strength and maturity which are the best proofs of wholesome laws well administered."
219,And if we look to the condition of individuals what a proud spectacle does it exhibit!
220,On whom has oppression fallen in any quarter of our Union?
221,Who has been deprived of any right of person or property?
222,Who restrained from offering his vows in the mode which he prefers to the Divine Author of his being?
223,It is well known that all these blessings have been enjoyed in their fullest extent; and I add with peculiar satisfaction that there has been no example of a capital punishment being inflicted on anyone for the crime of high treason.
224,Some who might admit the competency of our Government to these beneficent duties might doubt it in trials which put to the test its strength and efficiency as a member of the great community of nations.
225,Here too experience has afforded us the most satisfactory proof in its favor.
226,Just as this Constitution was put into action several of the principal States of Europe had become much agitated and some of them seriously convulsed.
227,"Destructive wars ensued, which have of late only been terminated."
228,In the course of these conflicts the United States received great injury from several of the parties.
229,"It was their interest to stand aloof from the contest, to demand justice from the party committing the injury, and to cultivate by a fair and honorable conduct the friendship of all."
230,"War became at length inevitable, and the result has shown that our Government is equal to that, the greatest of trials, under the most unfavorable circumstances."
231,"Of the virtue of the people and of the heroic exploits of the Army, the Navy, and the militia I need not speak."
232,"Such, then, is the happy Government under which we live -- a Government adequate to every purpose for which the social compact is formed; a Government elective in all its branches, under which every citizen may by his merit obtain the highest trust recognized by the Constitution; which contains within it no cause of discord, none to put at variance one portion of the community with another; a Government which protects every citizen in the full enjoyment of his rights, and is able to protect the nation against injustice from foreign powers."
233,Other considerations of the highest importance admonish us to cherish our Union and to cling to the Government which supports it.
234,"Fortunate as we are in our political institutions, we have not been less so in other circumstances on which our prosperity and happiness essentially depend."
235,"Situated within the temperate zone, and extending through many degrees of latitude along the Atlantic, the United States enjoy all the varieties of climate, and every production incident to that portion of the globe."
236,"Penetrating internally to the Great Lakes and beyond the sources of the great rivers which communicate through our whole interior, no country was ever happier with respect to its domain."
237,"Blessed, too, with a fertile soil, our produce has always been very abundant, leaving, even in years the least favorable, a surplus for the wants of our fellow-men in other countries."
238,Such is our peculiar felicity that there is not a part of our Union that is not particularly interested in preserving it.
239,The great agricultural interest of the nation prospers under its protection.
240,Local interests are not less fostered by it.
241,"Our fellow-citizens of the North engaged in navigation find great encouragement in being made the favored carriers of the vast productions of the other portions of the United States, while the inhabitants of these are amply recompensed, in their turn, by the nursery for seamen and naval force thus formed and reared up for the support of our common rights."
242,"Our manufactures find a generous encouragement by the policy which patronizes domestic industry, and the surplus of our produce a steady and profitable market by local wants in less favored parts at home."
243,"Such, then, being the highly favored condition of our country, it is the interest of every citizen to maintain it."
244,What are the dangers which menace us?
245,If any exist they ought to be ascertained and guarded against.
246,"In explaining my sentiments on this subject it may be asked, What raised us to the present happy state?"
247,How did we accomplish the Revolution?
248,"How remedy the defects of the first instrument of our Union, by infusing into the National Government sufficient power for national purposes, without impairing the just rights of the States or affecting those of individuals?"
249,How sustain and pass with glory through the late war?
250,The Government has been in the hands of the people.
251,"To the people, therefore, and to the faithful and able depositaries of their trust is the credit due."
252,"Had the people of the United States been educated in different principles had they been less intelligent, less independent, or less virtuous can it be believed that we should have maintained the same steady and consistent career or been blessed with the same success?"
253,"While, then, the constituent body retains its present sound and healthful state everything will be safe."
254,They will choose competent and faithful representatives for every department.
255,"It is only when the people become ignorant and corrupt, when they degenerate into a populace, that they are incapable of exercising the sovereignty."
256,"Usurpation is then an easy attainment, and an usurper soon found."
257,The people themselves become the willing instruments of their own debasement and ruin.
258,"Let us, then, look to the great cause, and endeavor to preserve it in full force."
259,Let us by all wise and constitutional measures promote intelligence among the people as the best means of preserving our liberties.
260,Dangers from abroad are not less deserving of attention.
261,"Experiencing the fortune of other nations, the United States may be again involved in war, and it may in that event be the object of the adverse party to overset our Government, to break our Union, and demolish us as a nation."
262,"Our distance from Europe and the just, moderate, and pacific policy of our Government may form some security against these dangers, but they ought to be anticipated and guarded against."
263,"Many of our citizens are engaged in commerce and navigation, and all of them are in a certain degree dependent on their prosperous state."
264,Many are engaged in the fisheries.
265,"These interests are exposed to invasion in the wars between other powers, and we should disregard the faithful admonition of experience if we did not expect it."
266,"We must support our rights or lose our character, and with it, perhaps, our liberties."
267,A people who fail to do it can scarcely be said to hold a place among independent nations.
268,National honor is national property of the highest value.
269,The sentiment in the mind of every citizen is national strength.
270,It ought therefore to be cherished.
271,"To secure us against these dangers our coast and inland frontiers should be fortified, our Army and Navy, regulated upon just principles as to the force of each, be kept in perfect order, and our militia be placed on the best practicable footing."
272,"To put our extensive coast in such a state of defense as to secure our cities and interior from invasion will be attended with expense, but the work when finished will be permanent, and it is fair to presume that a single campaign of invasion by a naval force superior to our own, aided by a few thousand land troops, would expose us to greater expense, without taking into the estimate the loss of property and distress of our citizens, than would be sufficient for this great work."
273,"Our land and naval forces should be moderate, but adequate to the necessary purposes -- the former to garrison and preserve our fortifications and to meet the first invasions of foreign foe, and, while constituting the elements of a greater force, to preserve the science as well as all the necessary implements of war in a state to be brought into activity in the event of war; the latter, retained within the limits proper in a state of peace, might aid in maintaining the neutrality of the United States with dignity in the wars of other powers and in saving the property of their citizens from spoliation."
274,"In time of war, with the enlargement of which the great naval resources of the country render it susceptible, and which should be duly fostered in time."
275,"of peace, it would contribute essentially, both as an auxiliary of defense and as a powerful engine of annoyance, to diminish the calamities of war and to bring the war to a speedy and honorable termination."
276,But it ought always to be held prominently in view that the safety of these States and of everything dear to a free people must depend in an eminent degree on the militia.
277,Invasions may be made too formidable to be resisted by any land and naval force which it would comport either with the principles of our Government or the circumstances of the United States to maintain.
278,"In such cases recourse must be had to the great body of the people, and in a manner to produce the best effect."
279,"It is of the highest importance, therefore, that they be so organized and trained as to be prepared for any emergency."
280,The arrangement should be such as to put at the command of the Government the ardent patriotism and youthful vigor of the country.
281,"If formed on equal and just principles, it can not be oppressive."
282,"It is the crisis which makes the pressure, and not the laws which provide a remedy for it."
283,"This arrangement should be formed, too, in time of peace, to be the better prepared for war."
284,With such an organization of such a people the United States have nothing to dread from foreign invasion.
285,At its approach an overwhelming force of gallant men might always be put in motion.
286,"Other interests of high importance will claim attention, among which the improvement of our country by roads and canals, proceeding always with a constitutional sanction, holds a distinguished place."
287,"By thus facilitating the intercourse between the States we shall add much to the convenience and comfort of our fellow-citizens, much to the ornament of the country, and, what is of greater importance, we shall shorten distances, and, by making each part more accessible to and dependent on the other, we shall bind the Union more closely together."
288,"Nature has done so much for us by intersecting the country with so many great rivers, bays, and lakes, approaching from distant points so near to each other, that the inducement to complete the work seems to be peculiarly strong."
289,"A more interesting spectacle was perhaps never seen than is exhibited within the limits of the United States -- a territory so vast and advantageously situated, containing objects so grand, so useful, so happily connected in all their parts!"
290,Our manufacturers will likewise require the systematic and fostering care of the Government.
291,"Possessing as we do all the raw materials, the fruit of our own soil and industry, we ought not to depend in the degree we have done on supplies from other countries."
292,"While we are thus dependent the sudden event of war, unsought and unexpected, can not fail to plunge us into the most serious difficulties It is important, too, that the capital which nourishes our manufacturers should be domestic, as its influence in that case instead of exhausting, as it may do in foreign hands, would be felt advantageously on agriculture and every other branch of industry Equally important is it to provide at home a market for our raw materials, as by extending the competition it will enhance the price and protect the cultivator against the casualties incident to foreign markets."
293,With the Indian tribes it is our duty to cultivate friendly relations and to act with kindness and liberality in all our transactions.
294,Equally proper is it to persevere in our efforts to extend to them the advantages of civilization.
295,"The great amount of our revenue and the flourishing state of the Treasury are a full proof of the competency of the national resources for any emergency, as they are of the willingness of our fellow-citizens to bear the burdens which the public necessities require."
296,"The vast amount of vacant lands, the value of which daily augments, forms an additional resource of great extent and duration."
297,"These resources, besides accomplishing every other necessary purpose, put it completely in the power of the United States to discharge the national debt at an early period."
298,"Peace is the best time for improvement and preparation of every kind; it is in peace that our commerce flourishes most, that taxes are most easily paid, and that the revenue is most productive."
299,"The Executive is charged officially in the Departments under it with the disbursement of the public money, and is responsible for the faithful application of it to the purposes for which it is raised."
300,The Legislature is the watchful guardian over the public purse.
301,It is its duty to see that the disbursement has been honestly made.
302,To meet the requisite responsibility every facility should be afforded to the Executive to enable it to bring the public agents intrusted with the public money strictly and promptly to account.
303,"Nothing should be presumed against them; but if, with the requisite facilities, the public money is suffered to lie long and uselessly in their hands, they will not be the only defaulters, nor will the demoralizing effect be confined to them."
304,It will evince a relaxation and want of tone in the Administration which will be felt by the whole community.
305,"I shall do all I can to secure economy and fidelity in this important branch of the Administration, and I doubt not that the Legislature will perform its duty with equal zeal."
306,"A thorough examination should be regularly made, and I will promote it."
307,It is particularly gratifying to me to enter on the discharge of these duties at a time when the United States are blessed with peace.
308,It is a state most consistent with their prosperity and happiness.
309,"It will be my sincere desire to preserve it, so far as depends on the Executive, on just principles with all nations, claiming nothing unreasonable of any and rendering to each what is its due."
310,Equally gratifying is it to witness the increased harmony of opinion which pervades our Union.
311,Discord does not belong to our system.
312,"Union is recommended as well by the free and benign principles of our Government, extending its blessings to every individual, as by the other eminent advantages attending it."
313,The American people have encountered together great dangers and sustained severe trials with success.
314,They constitute one great family with a common interest.
315,Experience has enlightened us on some questions of essential importance to the country.
316,"The progress has been slow, dictated by a just reflection and a faithful regard to every interest connected with it."
317,"To promote this harmony in accord with the principles of our republican Government and in a manner to give them the most complete effect, and to advance in all other respects the best interests of our Union, will be the object of my constant and zealous exertions."
318,"Never did a government commence under auspices so favorable, nor ever was success so complete."
319,"If we look to the history of other nations, ancient or modern, we find no example of a growth so rapid, so gigantic, of a people so prosperous and happy."
320,"In contemplating what we have still to perform, the heart of every citizen must expand with joy when he reflects how near our Government has approached to perfection; that in respect to it we have no essential improvement to make; that the great object is to preserve it in the essential principles and features which characterize it, and that is to be done by preserving the virtue and enlightening the minds of the people; and as a security against foreign dangers to adopt such arrangements as are indispensable to the support of our independence, our rights and liberties."
321,"If we persevere in the career in which we have advanced so far and in the path already traced, we can not fail, under the favor of a gracious Providence, to attain the high destiny which seems to await us."
322,"In the Administrations of the illustrious men who have preceded me in this high station, with some of whom I have been connected by the closest ties from early life, examples are presented which will always be found highly instructive and useful to their successors."
323,From these I shall endeavor to derive all the advantages which they may afford.
324,"Of my immediate predecessor, under whom so important a portion of this great and successful experiment has been made, I shall be pardoned for expressing my earnest wishes that he may long enjoy in his retirement the affections of a grateful country, the best reward of exalted talents and the most faithful and meritorious service."
325,"Relying on the aid to be derived from the other departments of the Government, I enter on the trust to which I have been called by the suffrages of my fellow-citizens with my fervent prayers to the Almighty that He will be graciously pleased to continue to us that protection which He has already so conspicuously displayed in our favor."
326,"Fellow citizens, I shall not attempt to describe the grateful emotions which the new and very distinguished proof of the confidence of my fellow citizens, evinced by my reelection to this high trust, has excited in my bosom."
327,The approbation which it announces of my conduct in the preceding term affords me a consolation which I shall profoundly feel through life.
328,The general accord with which it has been expressed adds to the great and never-ceasing obligations which it imposes.
329,"To merit the continuance of this good opinion, and to carry it with me into my retirement as the solace of advancing years, will be the object of my most zealous and unceasing efforts."
330,"Having no pretensions to the high and commanding claims of my predecessors, whose names are so much more conspicuously identified with our Revolution, and who contributed so preeminently to promote its success, I consider myself rather as the instrument than the cause of the union which has prevailed in the late election In surmounting, in favor of my humble pretensions, the difficulties which so often produce division in like occurrences, it is obvious that other powerful causes, indicating the great strength and stability of our Union, have essentially contributed to draw you together."
331,"That these powerful causes exist, and that they are permanent, is my fixed opinion; that they may produce a like accord in all questions touching, however remotely, the liberty, prosperity and happiness of our country will always be the object of my most fervent prayers to the Supreme Author of All Good."
332,"In a government which is founded by the people, who possess exclusively the sovereignty, it seems proper that the person who may be placed by their suffrages in this high trust should declare on commencing its duties the principles on which he intends to conduct the Administration."
333,"If the person thus elected has served the preceding term, an opportunity is afforded him to review its principal occurrences and to give such further explanation respecting them as in his judgment may be useful to his constituents."
334,"The events of one year have influence on those of another, and, in like manner, of a preceding on the succeeding Administration."
335,The movements of a great nation are connected in all their parts.
336,If errors have been committed they ought to be corrected; if the policy is sound it ought to be supported.
337,It is by a thorough knowledge of the whole subject that our fellow citizens are enabled to judge correctly of the past and to give a proper direction to the future.
338,Just before the commencement of the last term the United States had concluded a war with a very powerful nation on conditions equal and honorable to both parties.
339,The events of that war are too recent and too deeply impressed on the memory of all to require a development from me.
340,"Our commerce had been in a great measure driven from the sea, our Atlantic and inland frontiers were invaded in almost every part; the waste of life along our coast and on some parts of our inland frontiers, to the defense of which our gallant and patriotic citizens were called, was immense, in addition to which not less than $120,000,000 were added at its end to the public debt."
341,"As soon as the war had terminated, the nation, admonished by its events, resolved to place itself in a situation which should be better calculated to prevent the recurrence of a like evil, and, in case it should recur, to mitigate its calamities."
342,"With this view, after reducing our land force to the basis of a peace establishment, which has been further modified since, provision was made for the construction of fortifications at proper points through the whole extent of our coast and such an augmentation of our naval force as should be well adapted to both purposes."
343,"The laws making this provision were passed in 1815 and 1816, and it has been since the constant effort of the Executive to carry them into effect."
344,"The advantage of these fortifications and of an augmented naval force in the extent contemplated, in a point of economy, has been fully illustrated by a report of the Board of Engineers and Naval Commissioners lately communicated to Congress, by which it appears that in an invasion by 20,000 men, with a correspondent naval force, in a campaign of six months only, the whole expense of the construction of the works would be defrayed by the difference in the sum necessary to maintain the force which would be adequate to our defense with the aid of those works and that which would be incurred without them."
345,The reason of this difference is obvious.
346,"If fortifications are judiciously placed on our great inlets, as distant from our cities as circumstances will permit, they will form the only points of attack, and the enemy will be detained there by a small regular force a sufficient time to enable our militia to collect and repair to that on which the attack is made."
347,"A force adequate to the enemy, collected at that single point, with suitable preparation for such others as might be menaced, is all that would be requisite."
348,"But if there were no fortifications, then the enemy might go where he pleased, and, changing his position and sailing from place to place, our force must be called out and spread in vast numbers along the whole coast and on both sides of every bay and river as high up in each as it might be navigable for ships of war."
349,"By these fortifications, supported by our Navy, to which they would afford like support, we should present to other powers an armed front from St. Croix to the Sabine, which would protect in the event of war our whole coast and interior from invasion; and even in the wars of other powers, in which we were neutral, they would be found eminently useful, as, by keeping their public ships at a distance from our cities, peace and order in them would be preserved and the Government be protected from insult."
350,It need scarcely be remarked that these measures have not been resorted to in a spirit of hostility to other powers.
351,Such a disposition does not exist toward any power.
352,"Peace and good will have been, and will hereafter be, cultivated with all, and by the most faithful regard to justice."
353,"They have been dictated by a love of peace, of economy, and an earnest desire to save the lives of our fellow citizens from that destruction and our country from that devastation which are inseparable from war when it finds us unprepared for it."
354,"It is believed, and experience has shown, that such a preparation is the best expedient that can be resorted to prevent war."
355,"I add with much pleasure that considerable progress has already been made in these measures of defense, and that they will be completed in a few years, considering the great extent and importance of the object, if the plan be zealously and steadily persevered in."
356,The conduct of the Government in what relates to foreign powers is always an object of the highest importance to the nation.
357,"Its agriculture, commerce, manufactures, fisheries, revenue, in short, its peace, may all be affected by it."
358,Attention is therefore due to this subject.
359,"At the period adverted to the powers of Europe, after having been engaged in long and destructive wars with each other, had concluded a peace, which happily still exists."
360,Our peace with the power with whom we had been engaged had also been concluded.
361,"The war between Spain and the colonies in South America, which had commenced many years before, was then the only conflict that remained unsettled."
362,"This being a contest between different parts of the same community, in which other powers had not interfered, was not affected by their accommodations."
363,This contest was considered at an early stage by my predecessor a civil war in which the parties were entitled to equal rights in our ports.
364,"This decision, the first made by any power, being formed on great consideration of the comparative strength and resources of the parties, the length of time, and successful opposition made by the colonies, and of all other circumstances on which it ought to depend, was in strict accord with the law of nations."
365,"Congress has invariably acted on this principle, having made no change in our relations with either party."
366,"Our attitude has therefore been that of neutrality between them, which has been maintained by the Government with the strictest impartiality."
367,"No aid has been afforded to either, nor has any privilege been enjoyed by the one which has not been equally open to the other party, and every exertion has been made in its power to enforce the execution of the laws prohibiting illegal equipments with equal rigor against both."
368,"By this equality between the parties their public vessels have been received in our ports on the same footing; they have enjoyed an equal right to purchase and export arms, munitions of war, and every other supply, the exportation of all articles whatever being permitted under laws which were passed long before the commencement of the contest; our citizens have traded equally with both, and their commerce with each has been alike protected by the Government."
369,"Respecting the attitude which it may be proper for the United States to maintain hereafter between the parties, I have no hesitation in stating it as my opinion that the neutrality heretofore observed should still be adhered to."
370,"From the change in the Government of Spain and the negotiation now depending, invited by the Cortes and accepted by the colonies, it may be presumed, that their differences will be settled on the terms proposed by the colonies."
371,"Should the war be continued, the United States, regarding its occurrences, will always have it in their power to adopt such measures respecting it as their honor and interest may require."
372,"Shortly after the general peace a band of adventurers took advantage of this conflict and of the facility which it afforded to establish a system of buccaneering in the neighboring seas, to the great annoyance of the commerce of the United States, and, as was represented, of that of other powers."
373,"Of this spirit and of its injurious bearing on the United States strong proofs were afforded by the establishment at Amelia Island, and the purposes to which it was made instrumental by this band in 1817, and by the occurrences which took place in other parts of Florida in 1818, the details of which in both instances are too well known to require to be now recited."
374,I am satisfied had a less decisive course been adopted that the worst consequences would have resulted from it.
375,"We have seen that these checks, decisive as they were, were not sufficient to crush that piratical spirit."
376,"Many culprits brought within our limits have been condemned to suffer death, the punishment due to that atrocious crime."
377,"The decisions of upright and enlightened tribunals fall equally on all whose crimes subject them, by a fair interpretation of the law, to its censure."
378,It belongs to the Executive not to suffer the executions under these decisions to transcend the great purpose for which punishment is necessary.
379,"The full benefit of example being secured, policy as well as humanity equally forbids that they should be carried further."
380,"I have acted on this principle, pardoning those who appear to have been led astray by ignorance of the criminality of the acts they had committed, and suffering the law to take effect on those only in whose favor no extenuating circumstances could be urged."
381,"Great confidence is entertained that the late treaty with Spain, which has been ratified by both the parties, and the ratifications whereof have been exchanged, has placed the relations of the two countries on a basis of permanent friendship."
382,"The provision made by it for such of our citizens as have claims on Spain of the character described will, it is presumed, be very satisfactory to them, and the boundary which is established between the territories of the parties westward of the Mississippi, heretofore in dispute, has, it is thought, been settled on conditions just and advantageous to both."
383,But to the acquisition of Florida too much importance can not be attached.
384,"It secures to the United States a territory important in itself, and whose importance is much increased by its bearing on many of the highest interests of the Union."
385,"It opens to several of the neighboring States a free passage to the ocean, through the Province ceded, by several rivers, having their sources high up within their limits."
386,It secures us against all future annoyance from powerful Indian tribes.
387,It gives us several excellent harbors in the Gulf of Mexico for ships of war of the largest size.
388,"It covers by its position in the Gulf the Mississippi and other great waters within our extended limits, and thereby enables the United States to afford complete protection to the vast and very valuable productions of our whole Western country, which find a market through those streams."
